@actions/core,import,MIT,Copyright 2019 GitHub
@actions/exec,import,MIT,Copyright 2019 GitHub
@types/node,dev,MIT,Copyright Microsoft Corporation
@typescript-eslint/eslint-plugin,dev,BSD 2-Clause License, Copyr
@typescript-eslint/parser,dev,BSD 2-Clause License, Copyright JS
@vercel/ncc,dev,MIT,"Copyright 2018 ZEIT, Inc."
eslint,dev,MIT,Copyright OpenJS Foundation and other contributor
eslint-plugin-github,dev,MIT,"Copyright (c) 2016 GitHub, Inc."
eslint-plugin-jest,dev,MIT,Copyright (c) 2018 Jonathan Kim
jest,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
js-yaml,dev,MIT,Copyright (C) 2011-2015 by Vitaly Puzrin
prettier,dev,MIT,Copyright Â© James Long and contributors
ts-jest,dev,MIT,Copyright (c) 2016-2018
typescript,dev,Apache-2.0,Copyright (c) Microsoft Corporation.